233,543,548
657,724,482
847,701,381
895,573,234
717,209,664
10,947,610
594,386,640
981,987,544
219,65,409
866,920,352
840,154,896
740,811,972
222,659,674
956,906,247
190,624,808
207,634,755
817,581,493
457,562,832
353,133,897
763,999,818
115,192,324
363,932,135
336,507,146
362,815,53
961,5,29
769,212,663
876,382,244
369,839,158
201,193,644
451,308,643
621,775,187
945,139,472
432,827,979
579,189,146
984,502,151
13,271,716
28,147,98
273,868,289
783,69,482
427,872,142
71,493,918
610,438,409
82,871,236
413,802,777
559,786,279
63,151,902
779,179,401
229,804,269
518,588,690
353,15,563
495,438,56
413,401,847
822,483,718
410,249,872
187,160,10
818,223,161
720,354,340
473,583,497
742,102,85
433,455,452
348,950,891
404,716,292
603,890,127
321,301,728
545,840,889
555,11,112
716,83,467
409,557,50
906,299,504
343,84,959
795,432,262
38,189,330
682,792,220
810,466,873
890,11,66
779,919,77
892,987,160
711,748,69
113,654,369
970,349,805
929,497,238
543,535,779
873,218,571
94,380,37
319,270,401
385,402,320
462,294,307
975,357,56
44,822,62
765,792,764
571,74,261
161,617,796
292,843,366
863,937,746
253,608,369
6,994,771
326,456,417
985,431,126
393,828,948
808,593,93
572,516,167
833,29,136
981,321,979
348,537,268
446,790,877
167,796,871
290,474,679
707,811,463
185,557,291
486,365,236
579,289,753
98,474,134
234,455,456
214,155,993
834,954,135
711,121,283
934,412,109
614,471,272
77,9,829
368,495,194
604,74,835
709,172,309
196,406,765
652,972,920
997,807,226
484,870,348
119,805,112
228,771,935
500,848,944
682,568,439
228,524,865
64,234,37
373,430,796
138,434,120
411,783,279
637,619,150
337,738,307
801,318,78
737,170,926
33,852,846
825,81,370
690,145,604
728,518,386
876,9,172
996,772,307
628,761,926
778,99,16
437,252,334
867,989,505
145,375,357
991,200,790
361,890,935
318,970,806
56,198,815
229,547,587
888,175,700
167,305,799
183,742,52
870,609,393
727,754,768
84,97,320
227,458,563
162,776,533
320,833,84
487,414,631
426,654,806
127,821,111
926,357,853
330,227,814
76,954,920
196,390,17
517,969,475
80,484,604
965,804,789
49,292,203
32,718,857
838,845,31
949,124,388
154,806,967
320,882,273
592,79,15
609,596,985
437,28,469
41,345,625
830,747,917
385,779,988
594,618,185
625,919,309
365,426,116
684,98,998
309,691,429
677,652,377
662,89,405
483,482,103
460,664,850
378,49,629
718,644,599
903,621,519
213,339,297
681,23,747
31,685,438
461,362,91
190,376,532
596,211,15
51,671,679
901,401,81
530,119,725
130,375,698
1,940,37
650,621,413
397,4,98
188,817,812
631,8,188
163,956,751
530,7,422
210,908,176
291,790,647
368,272,22
418,625,962
456,627,935
221,25,292
319,565,109
483,196,469
671,711,425
774,242,432
196,804,692
724,447,835
372,815,107
746,233,85
709,41,712
996,262,89
288,933,654
750,416,202
219,439,914
997,213,156
781,762,960
474,486,759
661,210,574
120,957,159
205,18,553
270,14,167
359,655,101
366,757,869
568,976,661
834,973,874
342,755,988
302,581,827
61,242,37
987,362,994
499,920,12
404,190,379
571,901,386
24,267,143
894,188,471
907,374,797
133,717,904
122,371,485
949,785,79
338,124,793
333,623,65
697,379,255
76,951,509
462,327,776
957,573,316
429,480,691
578,614,408
482,88,131
319,389,916
750,727,41
543,60,16
961,110,396
216,538,699
725,353,26
854,310,600
522,91,80
565,669,46
325,151,134
457,470,523
373,220,251
414,116,663
